0,4294964196,0
20,1237683,8333
40,617217,4166
60,410395,2777
80,307058,2083
100,244967,1666
120,203573,1388
140,174091,1190
160,151904,1041
180,134632,925
200,120933,833
220,109617,757
240,100236,694
260,92344,641
280,85495,595
300,79539,555
320,74328,520
340,69861,490
360,65691,462
380,62118,438
400,58842,416
420,55864,396
440,53184,378
460,50801,362
480,48568,347
500,46483,333
520,44548,320
540,42761,308
560,41123,297
580,39634,287
600,38145,277
620,36805,268
640,35592,260
660,34380,252
680,33319,245
700,32258,238
720,31199,231
740,30290,225
760,29381,219
780,28473,213
800,27715,208
820,26957,203
840,26200,198
860,25444,193
880,24835,189
900,24227,185
920,23620,181
940,23013,177
960,22407,173
980,21949,170
1000,21344,166
1020,20888,163
1040,20432,160
1060,19976,157
1080,19521,154
1100,19066,151
1120,18613,148
1140,18306,146
1160,17853,143
1180,17548,141
1200,17096,138
1220,16791,136
1240,16486,134
1260,16182,132
1280,15878,130
1300,15575,128
1320,15273,126
1340,14971,124
1360,14670,122
1380,14369,120
1400,14214,119
1420,13914,117
1440,13614,115
1460,13459,114
1480,13160,112
1500,13006,111
1520,12705,109
1540,12549,108
1560,12248,106
1580,12093,105
1600,11938,104
1620,11639,102
1640,11484,101
1660,11330,100
1680,11175,99
1700,11021,98
1720,10724,96
1740,10570,95
1760,10417,94
1780,10264,93
1800,10111,92
1820,9955,91
1840,9800,90
1860,9644,89
1880,9484,88
1900,9323,87
1920,9166,86
1940,9009,85
1960,8995,85
1980,8823,84
2000,8652,83
2020,8486,82
2040,8345,81
2060,8204,80
2080,8204,80
2100,8062,79
2120,7921,78
2140,7780,77
2160,7780,77
2180,7638,76
2200,7497,75
2220,7497,75
2240,7356,74
2260,7214,73
2280,7214,73
2300,7073,72
2320,6932,71
2340,6932,71
2360,6791,70
2380,6791,70
2400,6649,69
2420,6508,68
2440,6508,68
2460,6367,67
2480,6367,67
2500,6225,66
2520,6225,66
2540,6084,65
2560,6084,65
2580,5943,64
2600,5943,64
2620,5801,63
2640,5801,63
2660,5660,62
2680,5660,62
2700,5519,61
2720,5519,61
2740,5378,60
2760,5378,60
2780,5236,59
2800,5236,59
2820,5236,59
2840,5095,58
2860,5095,58
2880,4954,57
2900,4954,57
2920,4954,57
2940,4812,56
2960,4812,56
2980,4671,55
3000,4671,55
3020,4671,55
3040,4530,54
3060,4530,54
3080,4530,54
3100,4388,53
3120,4388,53
3140,4388,53
3160,4247,52
3180,4247,52
3200,4247,52
3220,4106,51
3240,4106,51
3260,4106,51
3280,3965,50
3300,3965,50
3320,3965,50
3340,3823,49
3360,3823,49
3380,3823,49
3400,3823,49
3420,3682,48
3440,3682,48
3460,3682,48
3480,3541,47

