0,691966848,11930466
40,241546,4167
80,120713,2083
120,80435,1389
160,60296,1042
200,48213,833
240,40157,694
280,34403,595
320,30088,521
360,26731,463
400,24046,417
440,21849,379
480,20018,347
520,18469,321
560,17141,298
600,15991,278
640,14984,260
680,14095,245
720,13305,231
760,12599,219
800,11963,208
840,11387,198
880,10864,189
920,10387,181
960,9949,174
1000,9546,167
1040,9174,160
1080,8830,154
1120,8510,149
1160,8213,144
1200,7935,139
1240,7675,134
1280,7432,130
1320,7203,126
1360,6987,123
1400,6784,119
1440,6592,116
1480,6411,113
1520,6239,110
1560,6076,107
1600,5921,104
1640,5774,102
1680,5633,99
1720,5500,97
1760,5372,95
1800,5250,93
1840,5133,91
1880,5021,89
1920,4914,87
1960,4811,85
2000,4713,83
2040,4618,82
2080,4527,80
2120,4439,79
2160,4355,77
2200,4273,76
2240,4195,74
2280,4119,73
2320,4046,72
2360,3975,71
2400,3907,69
2440,3841,68
2480,3777,67
2520,3715,66
2560,3655,65
2600,3597,64
2640,3541,63
2680,3486,62
2720,3433,61
2760,3382,60
2800,3332,60
2840,3283,59
2880,3236,58
2920,3190,57
2960,3145,56
3000,3102,56
3040,3059,55
3080,3018,54
3120,2978,53
3160,2939,53
3200,2900,52
3240,2863,51
3280,2827,51
3320,2791,50
3360,2756,50
3400,2723,49
3440,2689,48
3480,2657,48
3520,2626,47
3560,2595,47
3600,2565,46
3640,2535,46
3680,2506,45
3720,2478,45
3760,2450,44
3800,2423,44
3840,2397,43
3880,2371,43
3920,2345,43
3960,2320,42
4000,2296,42
4040,2272,41
4080,2249,41
4120,2226,40
4160,2203,40
4200,2181,40
4240,2159,39
4280,2138,39
4320,2117,39
4360,2097,38
4400,2076,38
4440,2057,38
4480,2037,37
4520,2018,37
4560,1999,37
4600,1981,36
4640,1963,36
4680,1945,36
4720,1927,35
4760,1910,35
4800,1893,35
4840,1877,34
4880,1860,34
4920,1844,34
4960,1828,34
5000,1813,33
5040,1797,33
5080,1782,33
5120,1767,33
5160,1753,32
5200,1738,32
5240,1724,32
5280,1710,32
5320,1697,31
5360,1683,31
5400,1670,31
5440,1656,31
5480,1643,30
5520,1631,30
5560,1618,30
5600,1606,30
5640,1593,30
5680,1581,29
5720,1569,29
5760,1558,29
5800,1546,29
5840,1535,29
5880,1523,28
5920,1512,28
5960,1501,28
6000,1491,28
6040,1480,28
6080,1469,27
6120,1459,27
6160,1449,27
6200,1439,27
6240,1429,27
6280,1419,27
6320,1409,26
6360,1399,26
6400,1390,26
6440,1380,26
6480,1371,26
6520,1362,26
6560,1353,25
6600,1344,25
6640,1335,25
6680,1327,25
6720,1318,25
6760,1309,25
6800,1301,25
6840,1293,24
6880,1284,24
6920,1276,24
6960,1268,24
7000,1260,24
