0,4294964196,0
20,1366845,8333
40,681790,4166
60,453438,2777
80,339345,2083
100,270790,1666
120,225087,1388
140,192536,1190
160,168040,1041
180,148970,925
200,133845,833
220,121350,757
240,110993,694
260,102280,641
280,94718,595
300,88142,555
320,82388,520
340,77456,490
360,72852,462
380,68907,438
400,65290,416
420,62002,396
440,59043,378
460,56412,362
480,53946,347
500,51645,333
520,49508,320
540,47535,308
560,45713,297
580,44057,287
600,42402,277
620,40912,268
640,39587,260
660,38263,252
680,37103,245
700,35944,238
720,34786,231
740,33792,225
760,32798,219
780,31806,213
800,30977,208
820,30149,203
840,29322,198
860,28494,193
880,27831,189
900,27169,185
920,26506,181
940,25844,177
960,25183,173
980,24685,170
1000,24024,166
1020,23521,163
1040,23020,160
1060,22518,157
1080,22017,154
1100,21516,151
1120,21016,148
1140,20679,146
1160,20180,143
1180,19844,141
1200,19345,138
1220,19010,136
1240,18675,134
1260,18340,132
1280,18005,130
1300,17671,128
1320,17337,126
1340,17003,124
1360,16670,122
1380,16337,120
1400,16166,119
1420,15833,117
1440,15501,115
1460,15330,114
1480,14999,112
1500,14829,111
1520,14498,109
1540,14328,108
1560,13997,106
1580,13828,105
1600,13659,104
1620,13329,102
1640,13161,101
1660,12992,100
1680,12824,99
1700,12655,98
1720,12327,96
1740,12159,95
1760,11991,94
1780,11824,93
1800,11656,92
1820,11487,91
1840,11318,90
1860,11148,89
1880,10980,88
1900,10811,87
1920,10642,86
1940,10474,85
1960,10466,85
1980,10298,84
2000,10130,83
2020,9970,82
2040,9811,81
2060,9652,80
2080,9652,80
2100,9492,79
2120,9333,78
2140,9173,77
2160,9173,77
2180,9014,76
2200,8855,75
2220,8855,75
2240,8695,74
2260,8536,73
2280,8536,73
2300,8376,72
2320,8217,71
2340,8217,71
2360,8058,70
2380,8058,70
2400,7898,69
2420,7739,68
2440,7739,68
2460,7579,67
2480,7579,67
2500,7420,66
2520,7420,66
2540,7261,65
2560,7261,65
2580,7101,64
2600,7101,64
2620,6942,63
2640,6942,63
2660,6782,62
2680,6782,62
2700,6623,61
2720,6623,61
2740,6464,60
2760,6464,60
2780,6304,59
2800,6304,59
2820,6304,59
2840,6145,58
2860,6145,58
2880,5985,57
2900,5985,57
2920,5985,57
2940,5826,56
2960,5826,56
2980,5667,55
3000,5667,55
3020,5667,55
3040,5507,54
3060,5507,54
3080,5507,54
3100,5348,53
3120,5348,53
3140,5348,53
3160,5188,52
3180,5188,52
3200,5188,52
3220,5029,51
3240,5029,51
3260,5029,51
3280,4869,50
3300,4869,50
3320,4869,50
3340,4710,49
3360,4710,49
3380,4710,49
3400,4710,49
3420,4551,48
3440,4551,48
3460,4551,48
3480,4391,47

